Geneid	Length	genome_mapping/High.2838c3.rep1.RNAseq.mm10.sorted.bam
Gpr183	2942	118
Rnase9	1187	0
Plekhm1	5986	3861
Defb34	246	0
Defb38	291	0
Defb39	364	0
Defb40	378	0
Fam189a1	4754	18
Tonsl	4207	1455
Xlr4c	1223	6
Ttc29	2450	0
1700067K01Rik	1326	95
Tssk5	1514	26
Prss46	1257	6
4931429L15Rik	2037	0
Tmprss12	1349	0
4930563M21Rik	792	2
1700029I15Rik	364	27
4932414N04Rik	3643	0
Spinkl	593	0
6030498E09Rik	1184	0
4930451I11Rik	475	0
Zfp972	883	36
Spink8	679	4
Tepsin	2779	1486
Zfp729a	5207	1527
Sprn	3156	80
BC003965	3023	2834
Cyp2ab1	2735	122
Tmem252	2462	240
Slc17a9	2197	586
Helz2	10109	7230
Pyroxd1	2155	1357
Gm4884	2852	0
P2ry6	1917	949
Mpv17l2	955	2805
Sowaha	3618	399
C1qtnf9	1903	182
Fsd1	1748	12
Kcnv2	5077	24
Tspan18	3751	560
Abhd16b	1775	25
Lexm	1970	0
Gprin3	3116	209
Foxn3	2611	1895
Krtap13-1	750	0
Ms4a5	945	0
Foxi2	2598	0
Gsdmc3	2142	0
Marveld1	3077	8237
Serpinb9f	1908	0
Slfn5	5989	1189
Rnf182	3456	60
Gprin2	1601	4
Scd4	3072	193
Fat4	16107	1425
Tafa3	4317	28
Usp24	10601	12654
Nkx6-2	1907	0
Wfdc21	438	2670
Tma7	637	4213
Defa21	419	0
Cox14	723	4520
Hamp2	437	44
Smim5	940	124
Mrm3	1492	394
Tespa1	1694	10
Defa20	425	0
Coa4	834	492
Wfdc15a	466	0
Fam24a	371	0
Tefm	1287	1047
Nbeal2	8803	12911
Fam25c	367	90
Actl9	1369	4
Smco1	1398	49
Kctd2	1766	2360
Dhrs13	1744	482
Tcerg1l	2569	0
4921517D22Rik	3142	0
Cdkl1	1689	177
Krtap16-3	570	0
Nxph4	1675	22
Foxe1	2130	0
Pon2	1821	8499
Gm5111	964	0
Tmem145	2298	0
Synm	7866	1533
Ctxn1	1226	5945
Snapc5	761	638
Gm5128	3836	0
Khdc1a	1950	0
Gadd45gip1	1734	3160
Duxbl1	2146	0
Klhl6	2405	1301
Tnfsf18	2064	98
Qrfp	2925	2129
Dennd4c	7792	5810
Rtl1	6358	83
Ffar1	903	6
Nlrp9b	3344	0
Foxo6	2528	98
D630045J12Rik	11100	1092
Rhox3a	1048	0
Nanos2	1439	0
Arid4b	6113	12640
Onecut2	13391	55247
Slc23a3	2058	76
Tbc1d2b	5934	5506
Naif1	3173	711
Gbp6	4316	572
Bms1	4288	14062
Prr14l	10546	5406
Synrg	7110	5016
Fam160b2	4034	2487
Rnf31	3432	3306
AY358078	1461	19
Atg2a	6340	9360
Mafa	2821	112
Cdk10	1649	2745
Akap9	12105	18364
Ifnz	1462	0
Wipf2	7589	3489
Hsh2d	1225	148
Kif18b	3336	1294
Cox19	761	1918
1190005I06Rik	742	38
Ccnq	1224	1724
1700025G04Rik	9754	5162
Pcgf1	874	792
Tut1	2768	4189
Arl16	2023	970
Tspan15	3605	12561
Zgrf1	7048	1124
Ces2g	2859	3974
1700001O22Rik	1591	44
1110008P14Rik	657	1834
Coa5	3862	10124
Ascc3	7477	7300
E430018J23Rik	2163	539
Abraxas2	2895	3716
Cep78	2549	1023
Tnrc6c	8728	6361
Rcor1	5669	9708
Ranbp3l	4211	46
Iqcc	2142	714
Alkbh6	945	1247
Fermt1	5255	11471
Tubgcp3	3649	7093
Setx	10970	14620
Zbtb39	5958	3240
Cachd1	4965	1979
Bst2	807	3426
Gmip	3925	4978
Exoc8	7407	3518
Fam120c	7707	2682
Slc9c1	3879	0
Morn4	1816	558
Akap6	10263	1558
Ostn	1268	0
Dagla	5634	3457
Pcdha2	5364	0
Lrrc24	1904	207
Rab35	2163	9136
Uts2b	835	17
Tmem63b	3237	18123
Ppp2r5b	2708	6396
Gmeb2	4050	4728
Szt2	10958	5177
Ces2b	3374	20
Ntf5	1963	131
Qrfpr	1801	56
Yars2	1587	2162
Zbtb40	7192	1914
Lrrc4b	2719	254
Rnf133	1308	0
Tex2	4942	6131
Tmx3	4611	10794
Armh3	2896	2192
Trat1	4706	14
Enkd1	1317	1250
Rbm11	2699	6
Eif5b	7797	27333
Nup188	5695	9610
Klhl17	3014	1952
Pdpr	2904	2072
Zfp273	2321	334
Crhbp	1681	5
Paqr9	8389	770
Ckmt2	1486	4617
Usp49	8253	227
Orai3	1996	2229
Eid2	1288	663
Rhox11	805	0
Map6d1	3274	24
Trim52	3529	0
Plekhg6	3019	854
Ska3	2260	1042
Dcaf13	1541	5336
Them6	1488	1381
Rsl24d1	1522	4545
Igsf21	2000	2
Gxylt2	1826	97
Ap2s1	798	7321
Mex3d	3258	8816
Tspyl3	3072	162
Cct8l1	1961	25
H1f10	1062	660
Ubqlnl	2298	0
Xxylt1	3111	2577
Vstm2l	1363	4
1810024B03Rik	1266	38
Zc3h4	6051	8406
Trim67	8808	48
Gm5134	2836	5
1700016K19Rik	921	16
Tbc1d22b	3491	2368
Slc22a20	1897	0
Hjurp	8439	915
Iars2	3560	12995
Nsl1	2973	724
4921509C19Rik	2682	0
Gm5148	1215	1735
Nr1h5	2835	25
Stpg2	2818	0
Ccdc180	5081	36
Oog2	1929	0
Aadacl4fm1	1406	0
Pramel32	1828	0
Tbc1d2	4305	3936
A330070K13Rik	633	0
Gm9758	1155	0
Pramel37	1594	0
4930590J08Rik	3395	4
Prb1	1621	0
Fbxw26	1824	0
Fdxacb1	1978	654
BC061237	899	0
Serpinb3b	1632	0
Mrpl48	4965	2086
Ctf2	900	3
Lrrc75b	4601	20
Dbpht2	2995	0
B4galnt3	6356	564
Scx	1136	1780
Zbtb12	1835	1656
Ssxb3	823	0
Uggt1	9029	15961
Smgc	2977	0
Jpt2	2606	8907
Nox3	1792	0
Tfap2e	2117	14
Vmn2r43	2846	0
Cox11	2259	1102
Phf11d	2686	213
Stard8	4963	1061
Dpp10	4630	0
Shc4	4820	350
Zbtb26	5318	2209
Zfp335	4570	6526
Zfp395	4229	8394
Cep135	5539	1945
Tsen2	1801	1268
Clec2m	1566	0
Alg8	2001	1493
Fbxw15	1495	6
Thap1	2267	1127
Gpr6	1791	0
Ssx9	604	0
Ssxb10	877	0
Slitrk1	4251	2
Ssxb9	877	0
Defb50	373	0
Foxk1	7446	11347
Znrf2	2610	4052
BC051665	1348	0
Ppp1r37	2971	5997
Lypd10	1172	0
Tas2r102	1044	0
Tas2r107	1032	0
Tas2r110	1002	0
Tas2r130	939	0
Ifnk	820	6
Tas2r134	897	0
Tas2r135	966	4
Rbfa	1339	1974
Hdac10	2705	1930
Tmem199	1343	2070
Fam171a2	3099	1884
Cd300ld3	800	0
Lman1l	1737	20
Rtn4rl2	1263	330
Kcnk12	1952	16
Unc93a	2643	0
Tpte	2549	6
Mtg1	1595	1148
Bpifb6	1667	0
Zfp341	3224	468
Wdtc1	4175	5178
Mast3	5334	10145
Zdhhc19	1310	0
Ccdc32	1870	1761
Clec4a1	1558	332
Cep162	5295	1524
Ssxb5	602	1
Dot1l	6811	7158
Gal3st2	2846	92
S100a7a	741	1843
Rrp12	4320	4934
Zhx2	4374	3643
Mms22l	4718	1291
Rtl3	2843	16
Cdh24	2728	679
Prss43	1992	0
Col8a2	4331	166
Mettl7a2	1779	1
Lrrc47	3395	5388
Dand5	1680	324
Rhox4e	977	0
Pcdha8	5242	0
Krt9	2580	0
Eif4ebp3	1151	2213
Oog3	1854	0
Slc6a7	3343	15
Ctif	6176	2771
Lyrm4	1515	1067
Ccdc68	1525	3838
Serpinb3c	1659	0
Gpr176	3911	726
Xkr8	4238	766
Wee2	2886	0
Prmt8	2456	16
Ccdc84	1269	990
Trim56	3637	3485
Kash5	2210	2
Serpinb3d	1164	0
Pigs	2488	5695
Ugt1a6b	2293	570
Flrt1	5862	62
Flrt2	7097	1489
Map4k5	4454	8968
Sly	917	0
Kcnf1	4789	685
Myo5b	6647	10733
H2-M10.3	1592	0
Zfp652	2665	1625
Neil2	1914	138
H2-M10.6	1405	0
Prlhr	1572	0
Chd8	8489	14896
Mettl14	2625	5891
Ugt1a10	3242	7
Ugt1a7c	3294	1352
Ugt1a5	3208	78
Ugt1a9	3216	90
Ugt1a1	3229	2395
Dhx37	4141	3961
Cxcl3	1018	1227
Tcaf3	3110	0
Vmn1r183	918	0
Mrgprd	3117	2
Chrm2	2036	560
Mrgprg	1821	32
Rwdd4a	2952	3803
Eddm3b	1393	6
Gm5136	1117	0
Crh	1320	0
Chrm5	1746	0
Mrgprb4	966	0
Mrgprb1	4185	24
Tlr11	3207	6
Tlr13	4014	1060
Omt2b	735	0
Tlr12	3174	44
Gfral	2080	6
Churc1	674	2709
Cd200r2	1750	0
Cyp2c54	1772	1067
Olfr128	927	0
Olfr10	936	0
Olfr153	924	0
Ifna16	570	0
Vmn1r178	915	0
Vmn1r180	970	0
Ifna15	573	0
Ifna6	757	0
Vmn1r177	930	0
Olfr12	1121	0
Olfr6	951	0
Olfr3	942	0
Jtb	1103	4588
Arl9	402	3
Gpr152	3924	16
Ifna14	570	0
Macroh2a2	1910	131
Olfr773	936	0
Tas2r104	909	0
Tas2r106	927	0
Tas2r109	951	0
Tas2r113	930	0
Tas2r114	930	0
Tas2r115	933	0
Tas2r117	993	0
Tas2r118	900	0
Tas2r120	888	0
Tas2r121	918	0
Tas2r123	1002	0
Tas2r124	930	0
Tas2r125	936	0
Tas2r126	927	0
Tas2r129	963	0
Tas2r131	933	0
H2-Ab1	1193	5035
Cebpe	1238	22
Olfr1471	945	2
Olfr741	1144	0
Olfr1061	942	0
Olfr1084	954	0
Olfr1349	954	0
Olfr417	930	0
Olfr149	936	0
Olfr936	936	0
Olfr1212	936	0
Olfr955	945	0
Olfr1036	1015	0
Olfr594	936	0
Olfr645	948	0
Olfr845	942	0
Olfr670	939	0
Olfr813	933	0
Olfr1010	1050	0
Olfr1313	938	0
Olfr1308	963	0
Olfr1338	942	0
Olfr325	1041	0
Olfr1102	1063	0
Olfr117	954	0
Olfr747	955	0
Olfr1333	954	0
Olfr427	949	0
Olfr814	933	0
Olfr519	945	0
Dnph1	1106	945
Gm20738	1210	0
Olfr239	948	0
Tes	2442	29211
Olfr8	933	0
Ccdc120	3641	3727
Prr36	4616	186
Ninl	5093	3145
Igsf3	7330	13496
Lpcat4	1902	5968
Mrps26	962	3276
Clca4a	2998	44
Sec24b	5128	14069
Dyrk4	2073	9
Wtip	1955	1342
Exoc5	4659	8910
Mycbp2	15233	15150
Ugt3a1	2248	46
Acap3	4312	3947
Olfr384	939	0
Hdac4	8100	3617
Olfr1373	936	0
Plac9a	451	0
Olfr320	921	0
Arl5c	1561	84
C1ql2	2000	0
Olfr358	993	0
Olfr1283	918	0
Man1c1	4715	1828
Gtf3c1	6869	10247
Olfr1320	960	0
Npc1l1	4571	42
Cd200r4	1700	79
Zfp870	5296	870
Pglyrp3	1109	0
4930433I11Rik	2022	0
Olfr684	939	0
Olfr1371	936	0
Olfr1286	918	0
Ankrd34c	2475	0
Kcnk18	3032	0
Scgb2b2	512	0
Tmsb15l	821	0
Ccdc87	3163	60
Ptprh	4020	69
Tdpoz3	1098	0
Tdpoz4	1113	9
Tdpoz5	1023	0
Tigd4	3459	54
Ccdc121	1819	0
Mettl21e	3181	0
Cercam	2715	1303
Get1	2502	3876
Rpl23a	559	35381
Tex13c3	876	0
Opa3	2260	3184
Lypd9	598	0
Agr3	819	0
Dbx2	2271	4
Mrgprb3	939	82
Mrgprb5	969	0
Mrgprb8	1123	0
Mrgprx1	1180	0
Zfp81	2253	722
Vmn1r59	933	0
Vmn1r64	963	0
Vmn1r179	972	0
Vmn1r181	1088	0
Vmn1r93	966	0
Vmn1r174	942	0
Olfr192	1056	0
Olfr199	927	0
Olfr209	918	0
Olfr250	996	0
Olfr251	951	0
Olfr257	960	0
Olfr372	1016	0
Olfr592	939	0
Olfr681	948	0
Olfr750	1132	0
Olfr776	939	0
Olfr924	927	0
Olfr1040	942	0
Olfr1051	927	0
Olfr1057	948	0
Olfr1113	981	0
Olfr1173	939	0
Olfr1198	927	0
Olfr1252	945	4
Olfr1355	1148	0
Olfr1535	981	0
Olfr1380	936	0
Olfr1383	936	0
Olfr1480	948	0
Brinp2	4101	6
V1rd18	1157	0
V1rd19	918	0
Olfr774	939	0
Olfr553	981	0
Olfr403	942	0
Olfr1321	960	0
Olfr1118	996	0
Yipf6	5194	3926
Fndc3a	6136	12933
5031410I06Rik	2947	0
Defa22	419	0
Hook3	12836	11619
Olfr151	1085	0
Olfr1537	945	0
Olfr100	927	0
Olfr1082	990	0
Dedd2	1828	2513
Ccnl2	2442	13272
Olfr322	984	0
Olfr220	978	0
Olfr224	1915	0
Olfr1335	1008	0
Olfr301	1209	0
Poglut3	3644	4009
Rxfp1	5539	0
Krt42	1627	0
Krt73	2186	2
Krt78	3434	60
Septin5	2127	1423
A530032D15Rik	1760	11
Olfr118	966	0
Amer3	4356	0
Krt72	2013	3
Krt39	3193	52
Snord32a	81	34
Snord35a	89	72
Snord35b	86	24
Tyms-ps	1347	4
Snord33	82	22
Rmrp	275	508
Kcnq1ot1	83437	2447
G6bos	1160	6
Xist	17918	138269
Terc	397	24
Speer6-ps1	979	0
Speer5-ps1	1522	37
Speer9-ps1	775	0
Speer8-ps1	1121	0
Speer4cos	1083	0
Rpph1	325	404
E530001F21Rik	1128	0
Snord15a	148	4
Snord15b	145	41
Tug1	6781	7778
Ndufs5-ps	500	182
Nctc1	2106	60
Snord34	66	68
Gm5424	1552	0
Gm13363	2784	0
Gm7334	1358	0
Npm3-ps1	945	168
Dlx6os2	1354	0
Rnu3a	212	26
Tsix	4306	12
Gnasas1	2248	62
Malat1	6983	219037
6430411K18Rik	1315	0
8430431K14Rik	2854	4
Snord82	68	3
Airn	2188	532
Dlx1as	2793	14
Igf2os	4791	8
Psg-ps1	1922	0
Gm4956	1148	18
Olfr75-ps1	1281	0
Serpina4-ps1	1353	1905
Gm5088	3224	542
Emx2os	5023	18
Peg13	4723	3104
Rnu11	108	0
Dio3os	1279	429
Pax6os1	1464	0
Gm5476	402	0
Gm5477	717	0
Dnm3os	7928	644
Vax2os	3208	4
Gm6042	282	0
Has2os	485	22
Ubb-ps	703	5578
Defa-ps12	168	0
Defb44-ps	222	0
Gm21944	192	0
Defa-ps13	204	0
Gm5643	1734	0
Gm10052	1388	0
Smarca5-ps	3752	185
Gm5801	1189	62
Gm12070	1646	50
Gm5512	1748	0
Gm26504	90	0
Snhg1	476	6688
Snora64	117	178
Snora65	118	404
Snora70	129	131
Snora69	122	4
Snora68	98	112
Snora62	128	24
Snord61	62	1
Snora74a	198	26
Gm1943	1109	30
Rnu6	27	0
4930515G16Rik	466	0
Gm9731	1156	0
Snhg10	529	87
Defa-ps1	282	0
Sprr2j-ps	673	0
Kis2	2031	0
Pinc	1560	0
Fate1	938	0
Ceacam-ps1	715	6
Foxl2os	3732	0
Snhg3	437	1474
Slc13a2os	3627	0
Rab11fip4os1	2187	6
Zxda	7005	222
D030028A08Rik	2820	580
Gm6548	2040	1938
BC018473	3263	0
Pvt1	5059	1097
Gm7904	1246	7
Gm15772	520	0
Gm7367	1300	0
2210409E12Rik	377	7
Neat1	20771	137818
Pisd-ps1	2875	653
Pisd-ps3	2863	19420
Pisd-ps2	1485	172
Macroh2a3	1911	16
Zf12	1277	0
Sprr2g	651	48
Cyp2d13	1646	446
Gpr137b-ps	2941	2811
Gm6455	1072	0
1700018B24Rik	594	0
6330549D23Rik	2828	172
Gm5065	1436	0
Gm5069	3581	72
Gm10319	1350	59
1700073E17Rik	4599	0
Gm5766	1977	2
Gm6498	1599	29
Gm6578	978	8
Gm6787	1454	42
Meg3	12956	2103
Rps4l	941	1356
4933400A11Rik	1230	1
1700123L14Rik	1703	2
1700049L16Rik	820	0
4921511C20Rik	1606	0
Gm5039	1641	3
Gm5334	1554	0
Gm5434	1451	4
Ppp1r2-ps3	843	12
Gm7337	2654	0
Snora15	116	7
Miat	8760	395
1700022A21Rik	1448	0
Gm5478	2960	0
Vmn2r-ps11	2261	0
Tubb2a-ps2	704	32
Gm10653	1232	41
Gm4759	3091	10
Btnl5-ps	2592	11
Gm9079	1768	51
Snord87	74	48
Snord73a	68	48
Snord73b	71	130
Rnu12	150	1
Gm8234	2000	89
Rprl1	238	0
Apoo-ps	591	0
Rprl2	238	0
Vmn2r-ps54	2952	0
Gm15421	810	182
Nphs1os	1339	0
Zfhx2os	2487	2
Snord22	126	282
H2-K2	1324	421
Gm5523	1245	84
4930448K20Rik	1433	0
Gm44502	4527	0
Cdk3	1427	261
Selenok-ps1	783	33
Gm4850	914	0
Hoxa11os	1839	4
Etohd2	3135	199
Ipw	734	0
Gm5485	628	0
Six3os1	7127	0
Dlx6os1	4548	0
BC064078	897	74
B430010I23Rik	2079	28
1700047M11Rik	686	0
4933431E20Rik	5407	1474
Wt1os	3267	55
Snhg17	3172	4027
A330069E16Rik	892	170
C920009B18Rik	5659	78
Ptgs2os	2994	142
5530601H04Rik	3732	752
2900079G21Rik	6716	0
2610203C22Rik	1245	16
3830408C21Rik	1898	142
9530082P21Rik	3162	165
Oip5os1	1549	3897
Il1bos	1396	31
1700086O06Rik	1931	544
Atcayos	318	165
Mm2pr	1715	34
Mtag2	830	8
LOC100043315	1006	0
Mir100hg	6965	13665
1700108F19Rik	868	31
D130017N08Rik	1705	160
A930005H10Rik	1405	241
A930003A15Rik	1125	18
2900041M22Rik	1344	6
A630089N07Rik	2131	589
C230035I16Rik	617	253
2810403D21Rik	1005	92
4930511M06Rik	3432	211
A230056P14Rik	1405	152
1700031M16Rik	824	0
Gm20735	627	0
1500004A13Rik	7194	725
C030034L19Rik	5830	34
A530013C23Rik	2213	107
4833422C13Rik	5617	618
E030003E18Rik	1085	4
A330040F15Rik	1106	114
2410018L13Rik	1407	15
Firre	5815	10547
4833418N02Rik	1530	419
C130036L24Rik	1799	168
Jpx	3802	544
4632427E13Rik	669	110
E030011O05Rik	763	347
4933406K04Rik	1353	0
E130114P18Rik	1231	10
9330175E14Rik	1538	17
6430562O15Rik	1721	108
4930526I15Rik	1215	1256
Fzd10os	2405	0
AI662270	1408	430
1700030C10Rik	1724	63
2810429I04Rik	1740	4
A730017L22Rik	2375	291
Cep83os	4135	585
9430060I03Rik	1672	27
A830082N09Rik	7840	70
4930417O13Rik	1093	2
R74862	3889	347
9530026P05Rik	995	178
Dancr	1278	1080
1700108J01Rik	468	0
A230057D06Rik	2004	0
4930567H12Rik	955	0
1110038B12Rik	589	6307
9230114K14Rik	2118	147
Gm2518	2478	0
9630013A20Rik	2038	0
4933400F21Rik	3611	8
1700066O22Rik	961	0
E430016F16Rik	3091	0
Mir99ahg	3151	156
9630028H03Rik	2288	0
4930481A15Rik	2165	231
C130026L21Rik	1838	0
1700009J07Rik	914	0
5830432E09Rik	1494	51
Trmt61b	2945	422
Rab10os	1073	836
5330434G04Rik	3449	0
AI506816	2780	1029
4933404O12Rik	3970	394
2610035D17Rik	1848	671
5031425F14Rik	1636	15
2610028E06Rik	3636	4
C130071C03Rik	4992	6
9530036O11Rik	2926	143
A330023F24Rik	5195	269
A930007I19Rik	2317	63
4933406F09Rik	1293	0
4732471J01Rik	4328	121
4930471G03Rik	669	0
1810014B01Rik	1620	211
1700012D14Rik	629	27
4930513N10Rik	2803	223
4933432I09Rik	1536	16
Ube2d-ps	1840	602
2810032G03Rik	2040	4
Sox2ot	2970	4
5430402O13Rik	1007	46
C330024D21Rik	3739	0
BC024386	1673	1673
4933439C10Rik	2582	792
A330035P11Rik	2711	168
9330111N05Rik	1407	9
4932441J04Rik	726	22
9330158H04Rik	3103	42
5430405H02Rik	1509	182
D130009I18Rik	2663	0
Srrm4os	3358	27
4930442L01Rik	2051	6
Zfp862-ps	6289	1616
Gm45351	2752	0
A330076H08Rik	1894	0
A230072E10Rik	3290	12
Fam120aos	1461	1330
F730043M19Rik	1551	180
4930483J18Rik	1094	18
E130112N10Rik	1360	24
2900052N01Rik	2585	6
C86187	2057	7
9530059O14Rik	3978	0
Hoxaas3	835	0
1700029M20Rik	2963	0
4732416N19Rik	551	12
A930015D03Rik	799	4
Gm6981	1466	83
Peg3os	865	0
4930594C11Rik	2755	16
Snhg6	407	2593
Snhg7	742	954
BC006965	1952	9
Gm44505	3350	0
Gm14057	2136	263
Rprl3	235	8
Rnu7	25	0
Sycp1-ps1	3113	20
4930412O13Rik	4039	10
4930426L09Rik	1486	57
E130201H02Rik	851	52
9130024F11Rik	3728	138
9230116N13Rik	2097	123
Norad	4917	19870
1700008J07Rik	2432	306
Gm5	469	1
Gm11166	1643	0
Gm11346	1115	9
2700099C18Rik	1275	326
Gm8884	384	2
Gm5126	2177	0
Abhd11os	500	86
3110039M20Rik	854	655
Gm14379	1878	16
Zfp389	934	22
Bach2os	1661	16
C030034I22Rik	2746	294
A930012L18Rik	2364	63
4930488L21Rik	1862	0
Wbscr25	2075	11
1700020N18Rik	547	0
E330013P04Rik	2070	4
Gm10941	711	42
Gm5577	1423	143
Gt(ROSA)26Sor	1604	1234
Snhg20	600	1355
Tmem51os1	1758	57
AI854703	3573	171
Uckl1os	2270	154
A230020J21Rik	1649	25
Pdxk-ps	2342	12
A930003O13Rik	1951	0
Gm48957	7122	12
Gm17769	2564	37
Gm3219	604	77
1700096K18Rik	1449	559
A230072C01Rik	2201	283
AA543186	1696	74
Gm17801	1405	6
Gm8580	611	4
Tspy-ps	321	0
Mug-ps1	4683	558
Gm4489	520	0
4932435O22Rik	3402	0
Oaz1-ps	962	0
Gm8883	1019	365
Gm5166	890	0
Gm11961	1562	0
Tbrg3	7979	88
Map2k3os	1267	417
Gm1141	2148	17
D6Ertd474e	2761	0
A430093F15Rik	2115	8
1110006O24Rik	768	164
Zp4-ps	832	0
1500011B03Rik	1739	1338
Snhg16	1997	1471
Gm13749	1432	4
4930470P17Rik	1395	0
Pantr1	546	0
Rnf227	1746	236
Gm10638	1362	57
2810002D19Rik	1482	544
D630029K05Rik	2382	14
Pmis2	699	0
2900005J15Rik	2033	306
Nlrp1c-ps	3457	26
Gm9199	1288	44
1700054K19Rik	451	0
5730408K05Rik	384	26
Cts8-ps	4221	0
4930515G01Rik	1251	90
0610040B10Rik	440	47
4930583K01Rik	883	4
6530411M01Rik	1219	0
1700096J18Rik	454	3
Vaultrc5	345	4
A930013F10Rik	2426	444
5031426D15Rik	6021	16
2900092D14Rik	2841	0
BB123696	2308	16
Hoxd3os1	794	3
Snhg9	183	16
2900060B14Rik	597	6
G630025P09Rik	2370	8
1700120K04Rik	543	37
Bambi-ps1	1215	32
Msx1os	2188	6
C630043F03Rik	2687	542
2010204K13Rik	946	461
4930507D05Rik	2194	40
1110020A21Rik	1220	49
4931440P22Rik	1859	275
1700052K11Rik	2413	446
Ppp4r1l-ps	4466	1289
D930048N14Rik	3429	930
B830017H08Rik	1119	0
9130230L23Rik	1454	81
Zfp783	4415	581
Gm10416	642	8
Zbtb11os1	1350	166
4930429B21Rik	1950	46
1700020N01Rik	1061	0
Zfp85os	2908	44
Hnf4aos	843	36
Atad3aos	1162	16
5730522E02Rik	1520	8
3110070M22Rik	1128	33
Sox1ot	5067	0
4930465K10Rik	1262	2
1700001L05Rik	6003	1020
1810064F22Rik	2302	325
2810025M15Rik	1194	1097
4632415L05Rik	4114	1988
4930474M22Rik	613	0
C030016D13Rik	2595	46
4930433N12Rik	1382	0
Gm9871	1560	0
Gm3414	7912	663
Ppifos	1777	171
Gm4566	532	2
Gm9767	1193	0
Gm8615	2065	401
Gm4926	1620	1
Snora21	128	35
Snora3	120	58
Snord72	60	69
Gm12191	478	0
Kcnmb4os1	753	0
0610039K10Rik	951	65
2310001K24Rik	459	0
1600029I14Rik	864	0
2310068J16Rik	1121	45
0610038B21Rik	1523	28
6330407A03Rik	1843	8
Snord68	48	77
AF357399	94	12
4932414J04Rik	3061	0
Rian	3579	1006
Rmst	2687	4
B130006D01Rik	3188	12
Dleu2	1694	296
Mirg	1299	84
BC037032	4622	57
Phxr4	1380	19
Snord14a	22	0
Snord14d	23	0
Snord14c	87	163
Gm8801	1867	37
Snord43	48	21
Snord83b	77	111
Mcpt-ps1	793	131
2210417A02Rik	550	49
1700026D11Rik	847	0
2610306M01Rik	1034	407
1700084E18Rik	434	82
Dubr	1815	1015
C4bp-ps1	754	26
Tmem181c-ps	4045	360
Gm6524	1533	2
4930503E24Rik	1333	2
Gm4371	1610	3
8430429K09Rik	2583	303
AU015836	3000	0
Appbp2os	640	54
5830417I10Rik	9833	2867
1700018L02Rik	1247	58
Snord7	96	0
AA465934	382	91
AI450353	1500	33
4930404I05Rik	978	189
A930004D18Rik	3643	869
Gm17762	3329	113
Ftx	7491	1744
B230319C09Rik	1689	49
4930528A17Rik	2122	48
Gm10190	1700	2
BB031773	3655	4
Marcksl1-ps4	1043	403
D630041G03Rik	3640	10
Gm7854	1432	8
D430020J02Rik	2892	617
C130080G10Rik	1906	122
A530058N18Rik	1550	0
Gm2176	1734	0
D7Ertd143e	2232	39
Gm5129	603	12
Mirt1	5292	2126
2610005L07Rik	4009	2245
Thap6	3673	1148
BC052688	1622	0
AF357355	71	0
AF357359	30	43
9230102K24Rik	1303	12
Vmn2r-ps60	265	0
9330020H09Rik	3428	180
F930015N05Rik	3540	10
Snora35	119	0
Snora75	116	74
Snora20	61	30
Gm12238	124	2
Snora31	112	437
Gm13315	1981	17
Snora78	157	32
Scarna10	71	1
Scarna3a	118	2
Scarna6	248	5
Gm10451	893	359
Snord11	63	0
Snord13	98	2
Snord19	54	72
Snord38a	59	11
Snord45c	61	0
Snord49b	63	92
Snord52	59	103
Snord57	63	47
Snord64	46	7
Snord66	58	20
Snord69	59	83
Snord71	64	40
Snord88a	72	8
Snord88c	84	5
Snord90	68	0
Snord93	45	6
Snord99	56	51
Scarna2	61	4
Snord23	99	12
Snord12	66	173
Snord65	57	65
Snord8	99	17
Snord47	65	110
Scarna3b	124	0
Scarna8	118	4
Snora7a	129	96
Snord110	59	12
Snord16a	91	52
Snord37	53	111
Snord49a	62	46
Snord53	68	19
Snord58b	54	1
Snord67	98	1
Snord70	53	20
Snord89	94	45
Snord92	83	0
Snord98	28	27
Snora41	113	24
Snord111	64	9
Scarna17	62	22
Snord45b	45	42
Snord91a	60	0
Snord96a	77	337
Snord95	68	21
Snord85	65	7
Snord118	137	0
Snord1b	77	12
Scarna9	42	6
Snord1c	78	9
Snord1a	76	0
Snora17	132	117
Snora43	139	136
Snora24	130	0
Snhg8	785	4421
Snord123	88	8
Scarna13	275	16
D030025P21Rik	3954	72
Gm10584	2628	5
Gm10649	1985	8
Gm10825	4548	2
Gm11978	1306	0
Morrbid	4490	3165
Gm10069	4598	181
5330413P13Rik	3631	4
Mir17hg	2339	788
Otx2os1	743	0
Snora16a	136	91
Gsdmcl-ps	1930	0
Stmn1-rs1	979	4
1500015A07Rik	1864	783
1700003G18Rik	620	0
1700028J19Rik	1187	14
4933406I18Rik	1650	20
1700018A04Rik	714	44
2010320M18Rik	745	1035
2810454H06Rik	2825	127
4933407K13Rik	3376	537
4930579K19Rik	1152	62
4930584F24Rik	1188	0
6230400D17Rik	1088	130
E130317F20Rik	3595	274
C530005A16Rik	2436	100
Stk35os1	3091	394
Mccc1os	4451	42
G530011O06Rik	4794	128
A530088E08Rik	1795	2
6530402F18Rik	4292	212
9430083A17Rik	2990	198
5033406O09Rik	1729	446
Gm11149	1275	6
Snhg12	606	1765
D4Ertd617e	805	13
Gm10863	680	5
Rps15a-ps6	824	152
Flicr	3456	44
B430319G15Rik	4069	58
4930581F22Rik	2402	454
Mirlet7g	88	4
Mirlet7i	85	6
Mir1a-1	77	0
Mir15b	64	0
